video_id,in_phase2,in_v1,has_transcript,status,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,transcript_language,word_count,character_count,transcript_file,transcript_source
-WmXnO98QYs,True,False,False,phase2_missing_transcript,"📡 LIVE:- Yoga Mahotsav – 75 Days to #IDY2026 at Lonar, Buldhana, Maharashtra.",Ministry of Ayush,20260407,2948.0,2110,phase2,,,,,,,,,none
-ZxrdlQe_78,True,False,False,phase2_missing_transcript,Prime Minister Narendra Modi's message on 2nd International Day of Yoga,Indian Diplomacy,20160617,230.0,3529,phase2,,,,,,,,,none
-_Zn3F279mM,True,False,False,phase2_missing_transcript,Yoga -  For Self and Society,B Positive,20240730,65.0,23,phase2,,,,,,,,,none
-asdhNHzVTU,True,False,False,phase2_missing_transcript,International Yoga Day: PM addresses people | PMO,PMO India,20150621,561.0,1765,phase2,,,,,,,,,none
-cS3YaCShng,False,True,True,legacy_only_with_transcript,Yoga helps breast cancer survivors recover,"WKBW TV | Buffalo, NY",20151023,125.0,275,v1,"WKBW TV | Buffalo, NY",2.0,https://www.youtube.com/watch?v=-cS3YaCShng,"Yoga helps breast cancer survivors recover
◂


WKBW provides local news for all of Western New York, Buffalo, NY and the Niagara Falls NY region 

7 Eyewitness News is Buffalo's Source for news, sports, weather, and good things happening every day.

For more download the WKBW mobile app:

iPhone: http://bit.ly/iOS-wkbw
Android: http://bit.ly/wkbw-android",en-orig,988.0,5425.0,data/transcripts/-cS3YaCShng.en-orig.txt,legacy_archive
-cS3YaCShng,False,True,True,legacy_only_with_transcript,Yoga helps breast cancer survivors recover,"WKBW TV | Buffalo, NY",20151023,125.0,275,v1,"WKBW TV | Buffalo, NY",2.0,https://www.youtube.com/watch?v=-cS3YaCShng,"Yoga helps breast cancer survivors recover
◂


WKBW provides local news for all of Western New York, Buffalo, NY and the Niagara Falls NY region 

7 Eyewitness News is Buffalo's Source for news, sports, weather, and good things happening every day.

For more download the WKBW mobile app:

iPhone: http://bit.ly/iOS-wkbw
Android: http://bit.ly/wkbw-android",en,988.0,5425.0,data/transcripts/-cS3YaCShng.en.txt,legacy_archive
-fA6BrCVZZA,False,True,True,legacy_only_with_transcript,United Nations International Yoga Day Festival Brisbane 2015,The Mantra Room Brisbane,20150702,163.0,7840,v1,The Mantra Room Brisbane,,https://www.youtube.com/watch?v=-fA6BrCVZZA,"ASMY hosted the first United Nations International Yoga Day at Roma St Parklands on Sunday 21st June 2015.  Thousands of yoga lovers joined us to celebrate the gift of yoga on this beautiful, sunny Sunday afternoon. Yoga day is to increase peoples awareness of the real meaning of yoga. 

Yoga is the most ancient system for physical, mental and spiritual well-being in the world. The different systems of yoga have techniques and practices ranging from physical postures (asanas), to the deepest stages of meditation, all aimed toward helping a person achieve optimum physical, mental and spiritual well-being. The aim of all these yoga practices is meant to help an individual achieve a life of 
harmony, a balanced life. The Sanskrit meaning of the word yoga is union of the individual self with the Supreme Self  in a loving, harmonious relationship.

Find out about 2016 event at http://asmy.org.au/yoga-day-festival-brisbane/",,634.0,3456.0,data/transcripts/-fA6BrCVZZA.txt,legacy_archive
-nhi-zvx3ms,False,True,True,legacy_only_with_transcript,"Our next Niyama.... Self discipline, tapas",Hilltop Yoga,20150923,35.0,89,v1,Hilltop Yoga,,https://www.youtube.com/watch?v=-nhi-zvx3ms,With Sarah,en-orig,296.0,1586.0,data/transcripts/-nhi-zvx3ms.en-orig.txt,legacy_archive
-nhi-zvx3ms,False,True,True,legacy_only_with_transcript,"Our next Niyama.... Self discipline, tapas",Hilltop Yoga,20150923,35.0,89,v1,Hilltop Yoga,,https://www.youtube.com/watch?v=-nhi-zvx3ms,With Sarah,en,296.0,1586.0,data/transcripts/-nhi-zvx3ms.en.txt,legacy_archive
-pOwf3m8HBE,True,False,False,phase2_missing_transcript,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240615,141.0,254,phase2,,,,,,,,,none
-qBsODoJEPU,True,False,False,phase2_missing_transcript,The 11th International Day of Yoga (IDY) - 2025 celebration in Jammu.,EARLY POST DAILY NEWSPAPER,20250621,518.0,12,phase2,,,,,,,,,none
-rR2AxYZD6c,False,True,True,legacy_only_with_transcript,Yoga Sutras 2.30,Gokulacandra,20160427,63.0,59,v1,Gokulacandra,1.0,https://www.youtube.com/watch?v=-rR2AxYZD6c,Ahimsa,en,326.0,1973.0,data/transcripts/-rR2AxYZD6c.en.txt,legacy_archive
-rR2AxYZD6c,False,True,True,legacy_only_with_transcript,Yoga Sutras 2.30,Gokulacandra,20160427,63.0,59,v1,Gokulacandra,1.0,https://www.youtube.com/watch?v=-rR2AxYZD6c,Ahimsa,en-orig,326.0,1973.0,data/transcripts/-rR2AxYZD6c.en-orig.txt,legacy_archive
-uHVd3P41SY,False,True,False,legacy_only,Kiss My Asana Yogathon | Mind Body Solutions - Humanity Disguised as Yoga,The Hub - Mind Body Solutions,20151230,13.0,783,v1,The Hub - Mind Body Solutions,1.0,https://www.youtube.com/watch?v=-uHVd3P41SY,Join us for the 3rd annual Kiss My Asana Yogathon. All proceeds benefit the adaptive yoga program at Mind Body Solutions.,,,,,none
-uUZHLjVqOs,False,True,False,legacy_only,Three Yoga Essentials for International Yoga Day | Talk By Krishna Bhatta |,Mantram ,20150621,521.0,2715,v1,Mantram ,22.0,https://www.youtube.com/watch?v=-uUZHLjVqOs,"KKNKTV presents Three Yoga Essentials talk by Krishna Bhatta on international Yoga Day June 21st 2015.  We congratulate PM Narendra Modi for helping Yoga find its deserved place in the world.  Yoga featured from Siachen to Kanya Kumari today in India and in 190+ other countries. There is new awareness and a new future for us all through the new place of yoga in the world and in our lives.  
Patanjali is the father of Yoga as we know it.  The three Yoga essentials, Discipline, Mind control and Mantra Om have their roots in his teachings.  Om is the ultimate sound' where there is no sound in deep meditation, there is Om.  The same sound was heard as Amen by meditators in the west.  Om and amen have the same roots.
""By proclaiming 21 June as the International Day of Yoga, the General Assembly has recognized the holistic benefits of this timeless practice and its inherent compatibility with the principles and values of the United Nations.""
BAN KI-MOON
United Nations Secretary-General
http://www.un.org/en/events/yogaday/

INFO
Yoga Talk By Krishna Bhatta
Director & Producer: Krishna Bhatta & Shri Raghvendra
Om Chanting: Group
Composer & Music (OM Chanting): Srinivasa Sarma
Music & Video Label: KKNKTV
Inspired By: Late Dr.Paramhans Ray and Late Swami AkhileshJi
Subscribe: KKNKTV

Suggestions and Requests:
1) Subscribe KKNKTV.
2) KKNKTV request you all to listen talk and Om Dhun using a good sound system or with an earphone.
3) Please share with others, write your comments, views and give your like.

Suggested Yoga and Meditative Chanting Mantras By KKNKTV
1) OM Chanting For Yoga & Meditation, Produced by Krishna Bhatta and Shri Raghvendra, Label: KKNKTV @ https://www.youtube.com/watch?v=NipuSKsq3Oc
2) Om Namah Shivya By Vijay Prakash, Produced By Krishna Bhatta and Shri Raghvendra, Label: KKNKTV @ https://www.youtube.com/watch?v=A6Ppc99SbmA
3) Krishnam Krishnam by Anup Jalota and Sadhana Sargam, Lyrics by Krishna Bhatta and Shri Raghvendra @ https://www.youtube.com/watch?v=CzILMJTNsQY
4) Yoga For Inner Peace by Maureen Spencer, Label: KKNKTV @ https://www.youtube.com/watch?v=67TL2nk8bcI",,,,,none
02u0sbxZMuE,True,False,False,phase2_missing_transcript,Yoga Day 2023: PM Modi interacts with children at UN headquarters in New York,Republic World,20230621,450.0,2178,phase2,,,,,,,,,none
07DNOoKEE4w,False,True,False,legacy_only,YOGA DANCE,NILPARNA DANCE & YOGA,20161024,256.0,349,v1,NILPARNA DANCE & YOGA,4.0,https://www.youtube.com/watch?v=07DNOoKEE4w,YOGA DANCE OF ATHILAGORI YOGA CULTURE ASSOCIATION CONTAI BIJAYA SAMMILONI,,,,,none
09AHHhQJPH4,False,True,True,legacy_only_with_transcript,United Nations International Yoga Day Festival,The Mantra Room Brisbane,20150601,165.0,15758,v1,The Mantra Room Brisbane,,https://www.youtube.com/watch?v=09AHHhQJPH4,"Join the world wide celebrations for the United Nations International Day of Yoga at the very first Yoga Day Festival, a free community event featuring, fun and flowing yoga asana classes, deep relaxation, yoga breathing, exciting kid’s games and activities, live music and kirtan (yoga chant) deep peace meditation and more..... 
yogadayfestival.com.au",,93.0,428.0,data/transcripts/09AHHhQJPH4.txt,legacy_archive
0ATwmzKsHts,True,False,False,phase2_missing_transcript,Day-50 Countdown to IDY-2026 | 2 May 2026 | 6 AM IST | Kanha Shanti Vanam | Heartfulness | Daaji,heartfulness,20260502,7569.0,27206,phase2,,,,,,,,,none
0IuzVXWDTy0,False,True,False,legacy_only,Mariasana ~ Chakrasana ~ India,MARIASANA YOGA,20161024,40.0,365,v1,MARIASANA YOGA,7.0,https://www.youtube.com/watch?v=0IuzVXWDTy0,"Drop back on Chakrasana 

Maria Papadopoulou

Yoga Retreat in India, Kerala 2016

www.mariasana.gr

Yoga retreats in Greece and India 

yogaretreatgreece@gmail.com",,,,,none
0LTozZKV7f8,False,True,True,legacy_only_with_transcript,Yoga endorsment by celebrity-AMITABH BACHCHAN ENG,Ministry of Ayush,20150616,32.0,6498,v1,Ministry of Ayush,31.0,https://www.youtube.com/watch?v=0LTozZKV7f8,International Day Of Yoga,en-orig,118.0,658.0,data/transcripts/0LTozZKV7f8.en-orig.txt,legacy_archive
0LTozZKV7f8,False,True,True,legacy_only_with_transcript,Yoga endorsment by celebrity-AMITABH BACHCHAN ENG,Ministry of Ayush,20150616,32.0,6498,v1,Ministry of Ayush,31.0,https://www.youtube.com/watch?v=0LTozZKV7f8,International Day Of Yoga,en,118.0,658.0,data/transcripts/0LTozZKV7f8.en.txt,legacy_archive
0Ngo81oHEp4,False,True,False,legacy_only,108 Surya Namaskar Classical Yoga 2016 Revital Prisler,Daniel Bras,20160606,48.0,69,v1,Daniel Bras,,https://www.youtube.com/watch?v=0Ngo81oHEp4,108 Zonnegroet Yoga door Revital Prisler Classical Yoga,,,,,none
0OCahmfR-do,True,False,False,phase2_missing_transcript,UN declares June 21 as World Yoga Day,Headlines Today,20141212,55.0,376,phase2,,,,,,,,,none
0Of66fxq4FI,False,True,True,legacy_only_with_transcript,Desert Dwellers - Anahata Yoga Dub Full Album,musicotherapie,20150213,4668.0,330682,v1,musicotherapie,2512.0,https://www.youtube.com/watch?v=0Of66fxq4FI,,en,742.0,5132.0,data/transcripts/0Of66fxq4FI.en.txt,legacy_archive
0QWti9FMcgs,False,True,True,legacy_only_with_transcript,What is Raja Yoga? —Pravrajika Brahmaprana,Vedanta Society of Southern California,20160207,113.0,3805,v1,Vedanta Society of Southern California,59.0,https://www.youtube.com/watch?v=0QWti9FMcgs,"http://www.vedanta.org  What is Raja Yoga, the path of meditation? Pravrajika Brahmaprana answers.",en-orig,577.0,3166.0,data/transcripts/0QWti9FMcgs.en-orig.txt,legacy_archive
0QWti9FMcgs,False,True,True,legacy_only_with_transcript,What is Raja Yoga? —Pravrajika Brahmaprana,Vedanta Society of Southern California,20160207,113.0,3805,v1,Vedanta Society of Southern California,59.0,https://www.youtube.com/watch?v=0QWti9FMcgs,"http://www.vedanta.org  What is Raja Yoga, the path of meditation? Pravrajika Brahmaprana answers.",en,577.0,3166.0,data/transcripts/0QWti9FMcgs.en.txt,legacy_archive
0T_qOiw2Xuk,True,False,False,phase2_missing_transcript,International Yoga Day | PM Modi Leads Mass Yoga Event in Mysuru,TVC News Nigeria,20220621,47.0,319,phase2,,,,,,,,,none
0UYfOSQnfw4,False,True,False,legacy_only,International Day of Yoga 2015 for DDK Imphal Programme performed by Patanjali Yog Samiti Manipur,Pibarel Mangang (MATAM),20150702,1682.0,155,v1,Pibarel Mangang (MATAM),8.0,https://www.youtube.com/watch?v=0UYfOSQnfw4,,,,,,none
0Uxhco6qwFo,True,False,False,phase2_missing_transcript,"HCI,KL in collaboration with Ministry of AYUSH - Talk on Yoga & Ayurveda By Dr.Harini Ramya","High Commission of India ,Kuala Lumpur",20210622,1405.0,394,phase2,,,,,,,,,none
0XoCpPXlV4w,True,False,False,phase2_missing_transcript,Yoga Day 2025 | United Nations,United Nations,20250620,5020.0,8939,phase2,,,,,,,,,none
0_LsEX9HOjE,True,False,False,phase2_missing_transcript,International Day of Yoga 2020,AsiaSocietyHK,20200621,4349.0,826,phase2,,,,,,,,,none
0cqHIobg34w,False,True,False,legacy_only,Hv rajeev samaja sevakaru bjp.indipendence day,Raghava Rajeeva,20150827,422.0,65,v1,Raghava Rajeeva,3.0,https://www.youtube.com/watch?v=0cqHIobg34w,Independene day specl,,,,,none
0czz-i929eg,False,True,False,legacy_only,Mozambique development cricket,Start of Moz Cricket ,20160926,13.0,69,v1,Start of Moz Cricket ,2.0,https://www.youtube.com/watch?v=0czz-i929eg,Joao jorge,,,,,none
0dhPayseW-A,False,True,False,legacy_only,"Husband kills wife and son on Karvachauth in Keshavpuram,Delhi",InKhabar Official,20151031,34.0,547,v1,InKhabar Official,,https://www.youtube.com/watch?v=0dhPayseW-A,"Husband kills wife and son on Karvachauth in Trinagar area Keshavpuram,Delhi



Connect with us on Social platform at: https://www.facebook.com/Inkhabar
Connect with us on Social platform at: https://twitter.com/Inkhabar
Subscribe to our You Tube channel: https://www.youtube.com/user/itvnewsindia
http://www.inkhabar.com/",,,,,none
0kvgZGlb1n4,False,True,False,legacy_only,Inner thigh fat workout #shorts#share #fatloss #youtubeshorts #idy2023,Nirogyog by namrata,20230906,15.0,3454,v1,Nirogyog by namrata,70.0,https://www.youtube.com/watch?v=0kvgZGlb1n4,Inner thigh fat workout #shorts#share #fatloss #youtubeshorts #idy2023,,,,,none
0neaOfzxy3Y,False,True,True,legacy_only_with_transcript,Zindgi Bane Aasaan - Ep 280 - Dr. Avdesh sharma (Psychiatrist) - Brahma Kumaris,Godlywood Studio,20160725,1656.0,604,v1,Godlywood Studio,6.0,https://www.youtube.com/watch?v=0neaOfzxy3Y,"Category : Talk Show
Language : Hindi

Synopsis : This show redefines the purpose of life and improves the overall qualities of human life so that it becomes a source of joy and happiness. It helps in celebrating life by exploring the treasures within, and experiencing inner contentment and fulfilment. This program is designed for the spiritual and moral empowerment of people so that they can face challenges of the future with a positive attitude.

Anchor: Anaika Chand
Speakers : Dr. Prem Masand, BK Onkarchand, BK EV Girish, BK EV Swaminathan.

Telecast on : Peace Of Mind, Living India Channel

Production House: Godlywood Studio
Organizer: Brahmakumaris

Our Websites:
http://godlywoodstudio.org/
http://gwspeacenews.org/
http://www.brahmakumaris.com/
http://learnmeditationonline.org/
http://www.bkwsu.org/
http://pmtv.in/

Learn Rajyoga Meditation free of cost at your nearest Brahma Kumaris Spiritual Center.",en,10143.0,55331.0,data/transcripts/0neaOfzxy3Y.en.txt,legacy_archive
0sbRipuelcc,False,True,False,legacy_only,"BLISSFUL MANTRAS | Yoga & Meditation Music, Deep Relaxation Music, Spiritual Music | Jane Winther",Jane Winther,20151223,465.0,187563,v1,Jane Winther,1804.0,https://www.youtube.com/watch?v=0sbRipuelcc,"Multiple Vocal Harmonies Inspired By The Buddhist Mantra ""Om Mani Padme Hum"" for Calming The Mind, Deep Transformation, Tranquility and Inner Peace.

00:00  ""Om Mani Padme Hum 1"" (album MANTRA)
03:30  ""OM"" ( album MANTRA)

Subscribe to my Youtube channel: 
https://www.youtube.com/user/janewinthervocal/featured

♪  Listen to my music ♪ 
▶︎Spotify: https://open.spotify.com/artist/0PO9NIghm5IGR1uIqCRJ1s
▶︎All platforms: https://orcd.co/janewinthermusic

Connect with me:
▶︎Unisound (web): https://janewinther.com/
▶︎Instagram: https://www.instagram.com/janewinthermusic/
▶︎Facebook: https://www.facebook.com/UnisoundByJaneWinther/
▶︎Tiktok: https://www.tiktok.com/@janewinthermusic



Jane Winther has released 30+ albums and 125+ million streams with focus on acoustic music which touches, heals and creates a space for simply being.
Her music is minimalistic, acoustic and without synthetic instruments and are used daily for meditation, relaxation, mindfulness, yoga practice, sleep and pain relief. 

Jane Winther is developing music that provides not only peace, tranquility, harmony and a sense of unity, but also an atmosphere that allows self-personal and spiritual development.

May Peace, Freedom and Kindness Prevail on Earth





#mantras #buddhistmantras #vocalharmonies #janewinther #ommanipadmehum #om #letgo #motherearth #transformation #mantra #ancestors #reiki #reikimusic #massage #massagemusic #frequency #frequencymusic #channeling #soundhealing #relaxing-music #healingmusic #peaceful #medi-tation #relaxation #shamanicmusic #soundther-apy #soundbath #meditationmusic #improvisation #calm #harmony #yoga #yogamusic #spiritualmusic #innerjour-ney #livemeditation #calmingmusic #intuitivemusic #souls-inging #relaxation #antistressmusic #soundhealing #sleepmusic #deepsleep #deepdedi-tation #Spirit #lightworker #activation #medicinemusic",,,,,none
0wJKeCwiNTM,True,False,False,phase2_missing_transcript,"10th International Yoga Day , yoga for self and society 🙏",Rebootwithnidhi ,20240622,167.0,7,phase2,,,,,,,,,none
0xBMWCpm-ZY,True,False,False,phase2_missing_transcript,"Yoga for One Earth, One Health - Aayush Hospitals",Aayush Hospitals,20250621,95.0,214,phase2,,,,,,,,,none
0xD29uC3Pow,False,True,True,legacy_only_with_transcript,Kaivalyadhama Yoga Institute,Маниш Ачарья Россия,20180811,1107.0,136,v1,Маниш Ачарья Россия,4.0,https://www.youtube.com/watch?v=0xD29uC3Pow,,en,4530.0,26277.0,data/transcripts/0xD29uC3Pow.en.txt,legacy_archive
0xD29uC3Pow,False,True,True,legacy_only_with_transcript,Kaivalyadhama Yoga Institute,Маниш Ачарья Россия,20180811,1107.0,136,v1,Маниш Ачарья Россия,4.0,https://www.youtube.com/watch?v=0xD29uC3Pow,,en-orig,4530.0,26277.0,data/transcripts/0xD29uC3Pow.en-orig.txt,legacy_archive
12r5J6PNQ7s,True,False,False,phase2_missing_transcript,"PM Modi's address at International Day of Yoga event at Capital Campus, Chandigarh | PMO",PMO India,20160621,1430.0,1146,phase2,,,,,,,,,none
14z7QKI0f6s,False,True,True,legacy_only_with_transcript,1st International Yoga Day 2015 - LIVE,Doordarshan National,20150621,5025.0,69885,v1,Doordarshan National,580.0,https://www.youtube.com/watch?v=14z7QKI0f6s,"The first International Yoga Day is being celebrated across the world on Sunday with Prime Minister Narendra Modi presiding over a record gathering of 35,000+ Yoga enthusiasts who will perform asanas at a ceremonial road in Delhi.
The Social Media team of Doordashan live-streaming this event - Ananya Banerjee (Media Consultant), Arjun Mehto (Senior Content Manager), Jasvinder Singh (Engineer).",,23890.0,116510.0,data/transcripts/14z7QKI0f6s.txt,legacy_archive
18JmunPiPgg,False,True,False,legacy_only,Yoga với học viên,Hoa Nhu,20160226,71.0,8,v1,Hoa Nhu,,https://www.youtube.com/watch?v=18JmunPiPgg,,,,,,none
1MrNuZAVkHo,False,True,False,legacy_only,International Yoga Day WALK SPOB,Brahma Kumaris,20160621,1073.0,181,v1,Brahma Kumaris,3.0,https://www.youtube.com/watch?v=1MrNuZAVkHo,"Brahma Kumaris Int'l Head Quarter, Mount Abu, Rajasthan, India",,,,,none
1NcXFB8lQmo,False,True,True,legacy_only_with_transcript,Yoga Nidra for Chronic Pain |  30 Minute Guided Meditation,Ann Swanson Wellness,20150501,1767.0,52360,v1,Ann Swanson Wellness,608.0,https://www.youtube.com/watch?v=1NcXFB8lQmo,"Get FREE Trauma-informed meditation scripts + a sound healing track: https://www.annswansonwellness.com/7-meditation-scripts

This yoga nidra for chronic pain 30 minute guided meditation will aid you in total yoga relaxation and encourage natural pain relief. Learn the benefits of yoga therapy including how you can use yoga nidra to reduce pain.
 
Through guided yoga nidra and other relaxation techniques you are working on adapting and breaking through old neural pathways or habits of the brain (similar to the yogic concept of samskaras). The intention behind this 30 minute yoga nidra  is to shift your neurobiology to help you deal with chronic pain better, which can mean feeling less pain intensity overall. This guided meditation for chronic pain will leave you feeling relaxed and rejuvenated. 
 
Ann Swanson Wellness is focused on making yoga for everyone and for you to be able to access yoga anywhere. Whether you live a life with chronic pain or are looking to grow in your yoga practice, this free meditation for pain relief video is for you and we hope that this yoga nidra relaxation practice serves you well. 

ALSO TRY YOGA NIDRA FOR MINDFUL EATING & BETTER SLEEP BY ANN SWANSON: https://youtu.be/Nvt-cZ6r-OU

--- 

📌 Order _Meditation for the Real World_ book with bonuses: https://www.meditationfortherealworld.com

📌 Join the Meditation Teacher Training: https://www.annswansonwellness.com/meditation-teacher-training

📌 Order _SCIENCE OF YOGA_ book with bonuses: https://scienceof.yoga

---

Ann Swanson is an international best-selling author of _SCIENCE OF YOGA_ and _Meditation for the Real World,_ with over 500,000 copies sold worldwide in 15+ languages. She has a Master of Science in Yoga Therapy, is a licensed massage therapist, and a Tai Chi for Health instructor who studies with Dr. Paul Lam.

---

Subscribe here: https://www.youtube.com/user/flexiblewellness?sub_confirmation=1


Video shot by Alfred Ellison Gregg IV http://www.aegivphoto.com",en,4239.0,23920.0,data/transcripts/1NcXFB8lQmo.en.txt,legacy_archive
